category,air_date,category
ARE YOU READY FOR SOME FOOTBALL?,4/16/04,5
ARE YOU READY FOR SOME FOOTBALL?,4/27/07,5
ARE YOU READY FOR SOME SOCCER?,2/22/08,5
ARE YOU SHAKESPEARIENCED?,12/9/05,5
ARE YOU SHAKESPEARIENCED?,2/19/09,5
ARE YOU SMARTER THAN A 15th GRADER?,3/11/09,5
ARE YOU TOYING WITH ME?,10/21/09,5
ARE YOU WELL RED?,6/16/10,5
AREAS,12/20/99,5
AREAS OF EXPERTISE,4/26/05,5
AREAS OF THE U.S.,6/26/03,5
ARETHA FRANKLIN,2/28/01,5
ARGENTINA,1/22/90,5
ARGENTINA,11/7/89,5
ARGENTINA,12/17/02,5
ARGONNE NATIONAL LABORATORY,3/10/11,5
ARIAS,12/20/99,5
ARISTOTLE SAYS...,12/13/00,4
ARIZONA,5/27/10,5
ARKANSAS,11/16/87,5
ARKANSAS,7/1/08,5
ARKANSASSY,4/8/04,5
ARLINGTON NATIONAL CEMETERY,11/12/97,5
ARLINGTON NATIONAL CEMETERY,11/28/08,5
ARLINGTON NATIONAL CEMETERY,3/1/00,1
ARLINGTON'S TOMB OF UNKNOWNS,4/11/05,1
ARMCHAIR GENERAL,10/29/10,5
ARMED FORCES,6/24/87,5
ARMED FORCES,9/18/86,2
ARMED FORCES RHYME TIME,6/29/99,4
ARMIES OF THE WORLD,3/20/00,1
ARMOR,3/30/04,5
ARMS & THE MAN,2/6/04,5
ARMY MAJORS,5/8/98,5
ARMY STRONG,1/5/12,5
"ARMY, NAVY OR MARINES",4/4/05,5
"ARMY, NAVY, AIR FORCE OR MARINES",10/9/02,5
"ARMY, NAVY, AIR FORCE OR MARINES",2/4/03,5
ARNOLD,2/7/08,5
ARNOLD MOVIES,3/10/04,5
ARNOLD PALMER,1/27/09,5
ARNOLD SCHWARZENEGGER,10/1/02,5
AROUND A GREEK TEMPLE,4/29/09,5
AROUND A MONOPOLY BOARD,2/12/03,5
AROUND ASIA,7/4/00,5
AROUND ASIA,9/11/03,5
AROUND D.C.,4/4/00,5
AROUND EUROPE,6/23/08,5
AROUND FORT BRAGG,3/14/06,5
AROUND LOS ANGELES,12/4/06,5
AROUND NEW YORK,7/13/05,5
AROUND NEW YORK,7/2/04,5
AROUND NEW YORK STATE,11/16/99,5
AROUND NEW YORK STATE,7/27/07,5
AROUND SWEDEN,9/15/06,5
"AROUND THE ""GLOBE""",12/8/10,5
AROUND THE APARTMENT BUILDING,9/16/02,5
AROUND THE BIBLE,5/21/08,5
AROUND THE BIBLE,6/10/02,5
AROUND THE BLOC,6/27/00,5
AROUND THE BODY,10/26/04,5
AROUND THE BODY,12/16/97,5
AROUND THE BODY,2/9/06,5
AROUND THE BODY,6/8/11,5
AROUND THE CASTLE WITH LANCE,2/6/98,5
AROUND THE CELL,9/22/04,10
AROUND THE COLONY WITH PRUDENCE,6/22/98,5
AROUND THE COLOSSEUM WITH COWARDUS,1/25/05,5
AROUND THE COMMONWEALTH,12/8/00,5
AROUND THE COURTROOM,1/7/10,5
AROUND THE DOGHOUSE WITH SPOT,3/4/98,5
AROUND THE DRUM KIT,11/22/06,3
AROUND THE DUNGEON,9/3/97,5
AROUND THE EQUATOR,10/1/98,5
AROUND THE FARM,12/28/11,5
AROUND THE FARM WITH CLEM,3/10/98,5
AROUND THE GLOBE,1/3/00,5
AROUND THE GLOBE,3/6/03,5
AROUND THE GYM,5/6/03,5
AROUND THE HORN,11/24/97,4
AROUND THE HORN,3/24/05,5
AROUND THE HORN,4/24/06,5
AROUND THE HOUSE,1/21/04,5
AROUND THE HOUSE,11/20/96,5
AROUND THE HOUSE,2/19/10,5
AROUND THE HOUSE,2/26/90,5
AROUND THE HOUSE,3/3/00,5
AROUND THE HOUSE,4/2/03,5
AROUND THE HOUSE,9/26/89,5
AROUND THE HOUSE WITH PIERRE,9/17/97,5
AROUND THE HOUSE WITH SIMPLE MACHINES,6/15/09,4
AROUND THE KITCHEN,11/4/94,5
AROUND THE KNESSET,4/23/10,5
AROUND THE LAB WITH LEX,11/20/97,1
AROUND THE LIBRARY,2/14/97,5
AROUND THE LITERARY WORLD,12/4/98,5
AROUND THE LOUVRE,5/4/05,5
AROUND THE MALL,1/10/03,5
AROUND THE MEDITERRANEAN,7/10/09,5
AROUND THE MEDITERRANEAN,9/8/98,5
AROUND THE NUCLEAR POWER PLANT,1/17/06,5
AROUND THE OFFICE,2/2/99,5
AROUND THE OFFICE BUILDING,1/13/03,5
AROUND THE PACIFIC,4/20/99,5
AROUND THE PARK WITH SALLY,9/8/99,5
AROUND THE PLAYBOY MANSION,7/20/06,5
AROUND THE POKER TABLE WITH SLIM,2/18/98,5
AROUND THE STUDIO WITH LOU,2/23/98,5
AROUND THE U.N.,3/2/09,5
AROUND THE U.S.A.,1/26/00,5
AROUND THE U.S.A.,10/7/05,5
AROUND THE U.S.A.,11/15/06,4
AROUND THE U.S.A.,12/10/97,5
AROUND THE U.S.A.,6/24/99,5
AROUND THE USA,11/13/00,5
AROUND THE USA,2/14/06,5
AROUND THE USA,3/22/99,5
AROUND THE USA,4/4/07,5
AROUND THE USA,5/24/00,5
AROUND THE USA,5/26/05,5
AROUND THE USA,7/22/99,5
AROUND THE WORLD,1/10/03,5
AROUND THE WORLD,1/18/96,5
AROUND THE WORLD,1/6/98,5
AROUND THE WORLD,10/12/07,5
AROUND THE WORLD,10/18/00,5
AROUND THE WORLD,10/19/07,5
AROUND THE WORLD,10/5/00,5
AROUND THE WORLD,11/16/05,5
AROUND THE WORLD,11/29/93,5
AROUND THE WORLD,12/23/96,5
AROUND THE WORLD,12/27/07,5
AROUND THE WORLD,2/14/00,5
AROUND THE WORLD,2/15/07,5
AROUND THE WORLD,2/15/08,5
AROUND THE WORLD,2/2/98,5
AROUND THE WORLD,2/24/09,5
AROUND THE WORLD,2/4/00,5
AROUND THE WORLD,2/7/97,5
AROUND THE WORLD,3/29/99,1
AROUND THE WORLD,3/3/98,5
AROUND THE WORLD,3/5/98,5
AROUND THE WORLD,4/12/99,5
AROUND THE WORLD,4/21/99,5
AROUND THE WORLD,4/24/98,5
AROUND THE WORLD,4/28/10,5
AROUND THE WORLD,4/3/97,5
AROUND THE WORLD,4/5/10,5
AROUND THE WORLD,4/7/97,5
AROUND THE WORLD,5/16/01,5
AROUND THE WORLD,5/21/98,1
AROUND THE WORLD,5/23/97,5
AROUND THE WORLD,5/28/92,5
AROUND THE WORLD,5/5/08,5
AROUND THE WORLD,5/8/07,5
AROUND THE WORLD,6/16/99,5
AROUND THE WORLD,6/17/93,5
AROUND THE WORLD,6/9/98,5
AROUND THE WORLD,7/17/98,5
AROUND THE WORLD,7/3/01,5
AROUND THE WORLD,7/6/93,5
AROUND THE WORLD,9/10/99,5
AROUND THE WORLD,9/12/00,5
AROUND THE WORLD,9/16/05,5
AROUND THE WORLD BOOK,2/4/03,5
"AROUND THE WORLD, J. PETERMAN STYLE",1/23/09,5
"AROUND WASHINGTON, D.C.",2/19/07,5
AROUND WILLIAMSBURG,12/10/98,5
AROUNDA ROMA,2/25/99,5
ARRESTING AUTHORS,4/12/10,5
ARRESTING TELEVISION,9/28/05,5
ARRIVALS,5/12/11,5
ARROWS,1/22/99,5
ARROWS,1/8/98,3
ARSENIC,12/14/05,5
ART,1/10/05,5
ART,1/10/90,5
ART,1/11/96,5
ART,1/24/97,5
ART,1/30/96,5
ART,10/11/96,1
ART,10/15/02,5
ART,10/16/08,5
ART,10/28/92,5
ART,10/9/07,3
ART,11/10/89,5
ART,11/10/92,5
ART,11/10/97,5
ART,11/11/85,5
ART,11/12/96,5
ART,11/13/08,5
ART,11/16/90,5
ART,11/18/87,5
ART,11/18/88,5
ART,11/19/99,3
ART,11/20/97,1
ART,11/21/94,5
ART,11/26/84,1
ART,11/27/89,4
ART,11/28/96,5
ART,11/4/94,5
ART,11/7/90,5
ART,11/7/95,4
ART,12/15/10,5
ART,12/26/07,5
ART,2/24/97,5
ART,2/26/90,5
ART,2/5/04,5
ART,3/19/97,4
ART,3/30/06,5
ART,4/1/93,5
ART,4/1/99,5
ART,4/2/96,5
ART,4/21/97,5
ART,4/28/97,5
ART,4/9/91,5
ART,5/11/90,5
ART,5/12/97,5
ART,5/16/03,5
ART,5/2/05,5
ART,5/25/89,2
ART,5/29/97,5
ART,5/31/90,5
ART,5/4/09,5
ART,6/1/09,5
ART,6/11/99,1
ART,6/14/11,5
ART,6/17/97,5
ART,6/2/08,5
ART,7/1/08,4
ART,7/14/03,5
ART,9/19/00,5
"ART ""C""",6/11/04,5
"ART ""C""",9/21/06,5
"ART ""C"" CROSSWORD CLUES",12/12/08,5
"ART ""T""",1/6/11,5
ART & ARTISTS,1/11/12,5
ART & ARTISTS,1/19/01,5
ART & ARTISTS,1/23/04,5
ART & ARTISTS,1/25/96,5
ART & ARTISTS,1/29/99,5
ART & ARTISTS,10/10/97,5
ART & ARTISTS,10/21/10,1
ART & ARTISTS,10/24/06,5
ART & ARTISTS,10/5/99,5
ART & ARTISTS,10/9/98,5
ART & ARTISTS,11/11/98,5
ART & ARTISTS,11/18/94,5
ART & ARTISTS,11/18/96,5
ART & ARTISTS,11/20/95,5
ART & ARTISTS,11/25/99,5
ART & ARTISTS,11/9/09,5
ART & ARTISTS,12/17/07,5
ART & ARTISTS,12/19/00,5
ART & ARTISTS,12/4/09,5
ART & ARTISTS,12/4/97,5
ART & ARTISTS,12/6/96,5
ART & ARTISTS,2/12/01,5
ART & ARTISTS,2/12/03,5
ART & ARTISTS,2/21/03,5
ART & ARTISTS,2/22/06,5
ART & ARTISTS,2/24/99,5
ART & ARTISTS,2/25/97,5
ART & ARTISTS,2/3/99,5
ART & ARTISTS,3/14/97,5
ART & ARTISTS,3/17/09,5
ART & ARTISTS,3/18/10,5
ART & ARTISTS,3/23/04,5
ART & ARTISTS,3/30/05,5
ART & ARTISTS,4/14/11,5
ART & ARTISTS,4/21/05,5
ART & ARTISTS,4/24/97,5
ART & ARTISTS,4/27/99,5
ART & ARTISTS,4/28/03,5
ART & ARTISTS,4/9/96,5
ART & ARTISTS,4/9/97,5
ART & ARTISTS,5/17/06,5
ART & ARTISTS,5/2/02,5
ART & ARTISTS,5/21/99,5
ART & ARTISTS,5/8/03,5
ART & ARTISTS,6/14/10,5
ART & ARTISTS,7/1/98,5
ART & ARTISTS,7/11/03,5
ART & ARTISTS,7/15/96,5
ART & ARTISTS,7/17/97,5
ART & ARTISTS,7/19/10,5
ART & ARTISTS,9/1/97,5
ART & ARTISTS,9/11/01,5
ART & ARTISTS,9/24/98,4
ART & ARTISTS,9/26/07,5
ART & ARTISTS,9/28/04,5
ART & DESIGN,4/6/90,5
ART & MUSIC,3/12/07,5
ART & MUSIC,3/4/11,5
ART & STATE CAPITALS,10/12/11,1
ART -ISMS,3/2/11,5
ART -ISMs,3/17/05,5
ART 101,11/15/10,5
ART 101,4/9/01,5
ART APPRECIATION,10/6/04,5
ART AT THE BARNES,3/3/05,5
ART ATTACK,10/19/01,5
ART BIENNIALS,4/12/05,5
ART BOOKS,10/23/09,5
ART CLASS,7/6/95,5
ART CLASS,9/8/00,5
ART COLLECTORS,1/28/98,4
ART EXHIBITS,6/6/97,5
ART FOR ART'S SAKE,10/23/00,5
ART FOR ART'S SAKE,10/28/04,5
ART FOR ART'S SAKE,12/5/05,5
ART FOR ART'S SAKE,3/5/08,5
ART FOR ART'S SAKE,7/9/08,5
ART FOR ART'S SAKE!,12/1/99,5
ART FOR ART'S SAKE!,4/19/10,5
ART FOR ART'S SAKE!,6/27/00,5
ART FOR ART'S SAKE!,7/17/01,3
ART GAL-ERY,11/12/07,5
ART HEISTS,5/21/09,5
ART HEISTS,6/8/10,5
ART HERSTORY,6/26/07,5
ART HISTORY,1/28/00,5
ART HISTORY,1/5/10,1
ART HISTORY,11/15/00,5
ART HISTORY,11/18/09,5
ART HISTORY,11/26/04,5
ART HISTORY,12/16/99,1
ART HISTORY,2/6/04,5
ART HISTORY,3/27/07,1
ART HISTORY,4/1/09,5
ART HISTORY,5/13/08,5
ART HISTORY 101,5/8/98,5
ART HISTORY CLASS,11/18/04,5
ART HOUSE MOVIES,12/31/09,5
ART IN OMAHA,4/20/04,5
ART LECTURE,6/16/05,5
ART MONK,1/5/09,5
ART MUSEUM EXHIBITS,11/3/10,4
ART MUSEUMS,1/20/09,5
ART MUSEUMS,2/1/01,4
ART ON EXHIBIT,12/27/07,5
ART QUOTES,1/26/11,5
ART SCENARIOS,7/3/09,5
ART SCHOOL,11/9/04,5
ART SCHOOL,9/15/10,5
ART STYLE ETYMOLOGY,4/24/07,5
ART STYLES,10/1/10,5
ART SUBJECTS,9/20/04,1
ART SUPPLIES,10/17/97,5
ART SUPPLIES,7/10/01,5
ART TECHNIQUE,9/19/05,5
ART TERMS,11/1/05,5
ART WORKS,3/9/07,5
ART-FULL,7/14/06,5
ART-FULLY STOLEN,7/5/07,5
ART-IFICIAL,1/29/08,5
ART-PODGE,10/29/01,5
ART-PODGE,5/26/08,5
ARTE ITALIANO,2/2/09,5
ARTFUL KNIGHTS,3/12/02,4
ARTHUR MILLER,3/13/08,5
ARTHUR MILLER,6/30/00,5
ARTHUR'S CAMELOT,1/2/12,5
ARTHUR-IAN AUTHORS,4/15/09,5
ARTISTIC MASTERPIECES,3/15/05,1
ARTISTIC MASTERS,7/22/99,5
ARTISTIC WOMEN,1/20/99,5
ARTISTIC WOMEN SPEAK,9/20/06,5
ARTISTS,1/14/88,5
ARTISTS,10/10/03,5
ARTISTS,10/15/07,1
ARTISTS,10/6/89,5
ARTISTS,11/11/88,5
ARTISTS,11/15/91,5
ARTISTS,11/17/89,5
ARTISTS,11/17/93,5
ARTISTS,11/29/01,1
ARTISTS,11/3/89,5
ARTISTS,11/30/93,5
ARTISTS,11/9/87,5
ARTISTS,12/27/06,5
ARTISTS,12/28/99,1
ARTISTS,12/9/87,5
ARTISTS,2/16/00,5
ARTISTS,2/19/10,1
ARTISTS,2/20/98,5
ARTISTS,3/15/00,1
ARTISTS,3/30/09,1
ARTISTS,3/31/98,5
ARTISTS,4/12/96,1
ARTISTS,4/15/96,5
ARTISTS,4/2/93,5
ARTISTS,4/4/97,1
ARTISTS,5/19/92,1
ARTISTS,5/21/92,5
ARTISTS,5/23/89,5
ARTISTS,6/1/00,1
ARTISTS,6/10/11,5
ARTISTS,6/19/97,5
ARTISTS,6/28/10,5
ARTISTS,6/29/01,1
ARTISTS,6/7/07,1
ARTISTS,6/9/05,5
ARTISTS,6/9/10,1
ARTISTS,7/18/96,1
ARTISTS,7/7/97,5
ARTISTS,9/29/97,5
ARTISTS,9/7/01,5
ARTISTS & ILLUSTRATORS,6/24/09,5
ARTISTS & THEIR SUBJECTS,1/15/96,5
ARTISTS & THEIR SUBJECTS,1/16/98,5
ARTISTS & THEIR SUBJECTS,11/24/95,5
ARTISTS & THEIR SUBJECTS,12/10/01,5
ARTISTS & THEIR SUBJECTS,2/14/97,5
ARTISTS & THEIR SUBJECTS,3/10/10,5
ARTISTS & THEIR SUBJECTS,3/18/03,5
ARTISTS & THEIR SUBJECTS,5/29/03,5
ARTISTS & THEIR WORKS,3/16/01,5
ARTISTS & THEIR WORKS,5/22/02,5
ARTISTS & THEIR WORKS,6/17/03,5
ARTISTS & THEIR WORKS,6/5/01,5
ARTISTS IN FRANCE,3/14/03,4
ARTISTS ON FILM,10/3/11,5
ARTISTS ON FILM,2/28/00,5
ARTISTS' BIRTHPLACES,9/12/03,5
ARTISTS' CHOICE,3/10/09,5
ARTISTS' RETREATS,3/30/11,5
ARTS & CRAFTS,1/15/07,5
ARTS & CRAFTS,10/26/04,5
ARTS & CRAFTS,12/12/96,5
ARTS & CRAFTS,12/27/00,5
ARTS & CRAFTS,9/18/02,5
ARTS & CRAFTS,9/24/01,5
ARTS & CRAFTS,9/6/99,5
ARTS AND CRAFTS,11/13/87,5
ARTS NEWS 2009,1/21/10,5
ARTSY,10/30/09,5
ARTSY FILMS,10/19/98,5
ARTSY FILMS,11/1/00,5
ARTSY TYPES,7/19/99,5
ARTY FACTS,11/1/06,3
ARTY FACTS,2/17/09,5
ARTY FACTS,4/13/07,5
"AS ""IF""!",6/25/09,5
"AS ""U"" LIKE IT",9/29/99,5
AS A YOUNG MAN,4/23/09,5
AS EASY AS A-B-C,9/16/09,5
AS I RECALL,11/23/11,5
AS LISTED IN THE S.I. ALMANAC,2/24/09,5
AS MOM SAYS...,11/2/99,5
AS MOM SAYS...,3/1/99,5
AS QUICK AS YOU CAN SAY...,6/22/09,5
AS QUOTED IN NEWSWEEK,9/6/01,5
AS THE OLD ADAGE SAYS...,11/20/97,2
AS THE STOMACH TURNS,4/27/98,5
AS THE WORLD BURNS,7/18/03,5
AS THE WORLD TURNS,6/25/99,5
AS TIME GOES BY,5/26/10,5
AS WE KNOW IT,3/28/01,5
"AS YOU ""IKE"" IT",4/6/05,5
"AS YOU LIKE ""IT""",3/16/06,5
ASCENT OF EVEREST,11/22/01,5
ASHES TO ASHES,7/18/06,5
ASIA,10/18/05,5
ASIA,10/31/97,5
ASIA,11/18/03,5
ASIA,11/23/11,5
ASIA,11/25/04,5
ASIA,11/28/06,1
ASIA,12/17/96,1
ASIA,12/24/86,5
ASIA,2/25/98,1
ASIA,2/26/90,5
ASIA,4/2/96,5
ASIA,4/24/03,5
ASIA,5/23/00,1
ASIA,5/9/90,5
ASIA,7/9/08,5
ASIAN AMERICANS,11/14/02,5
ASIAN AMERICANS,3/20/97,5
ASIAN BODIES OF WATER,10/6/06,5
ASIAN CAPITALS,1/8/90,5
ASIAN CAPITALS,11/20/09,5
ASIAN CAPITALS,12/18/06,5
ASIAN CAPITALS,2/10/05,5
ASIAN CAPITALS,2/26/08,5
ASIAN CAPITALS,9/28/10,4
ASIAN CITIES,4/14/97,5
ASIAN CITIES,5/2/94,5
ASIAN CITIES,6/11/99,5
ASIAN COUNTRIES,12/28/07,5
ASIAN GEOGRAPHY,2/20/97,5
ASIAN GEOGRAPHY,4/2/09,5
ASIAN HISTORY,1/24/12,5
ASIAN HISTORY,11/19/87,5
ASIAN HISTORY,11/29/07,5
ASIAN HISTORY,2/10/00,5
ASIAN HISTORY,5/19/00,1
ASIAN HISTORY,5/25/05,5
ASIAN HISTORY,9/17/04,5
ASIAN NATIONS,10/28/08,1
ASIAN NATIONS,10/5/10,4
ASIAN NATIONS,2/15/99,5
ASIAN NATIONS,2/3/98,1
ASIAN NATIONS,7/8/03,5
ASIAN NEWSPAPERS,4/3/01,5
ASIAN PERSUASION,4/9/08,5
ASIAN PLACES,10/10/00,5
ASIAN RIVERS,12/17/04,5
ASIAN-AMERICAN ACHIEVERS,5/22/00,5
ASIAN-AMERICAN FIRSTS,12/12/06,5
"ASK ""Y""",10/13/06,5
ASK THE AUDIENCE,6/28/06,5
ASK YOUR DOCTOR...,12/1/04,3
ASSASSIN & VICTIM,12/31/07,5
ASSASSINATIONS,11/16/95,5
ASSASSINATIONS,4/7/08,1
ASSASSINATIONS,6/12/98,5
ASSASSINATIONS,6/28/99,5
ASSASSINATIONS,7/6/93,5
ASSASSINS,12/26/96,1
ASSASSINS,4/11/05,5
ASSASSINS,4/29/04,5
ASSEMBLY LINE,2/16/10,5
ASSERTING AUTHOR-ITY,5/14/09,5
ASSETS,6/8/11,5
ASSOCIATES,6/11/98,5
ASSOCIATIONS,4/17/01,5
ASSOCIATIONS,6/19/03,5
ASSORTED FLOWERS,12/2/10,5
ASSUME THE POSITION,11/18/11,10
ASSUME THE POSITION,3/15/06,5
ASTEROID NAMES,9/24/08,5
ASTEROIDS,5/6/99,5
ASTRO QUIZ,11/14/07,5
ASTRO-QUIZ,11/11/09,5
ASTROLOGY,10/4/02,5
ASTROLOGY,2/12/97,5
ASTROLOGY,2/5/86,5
ASTROLOGY,5/12/98,5
ASTROLOGY,9/25/95,5
ASTROLOGY FOR SKATERS,4/5/99,5
ASTROLOGY TIME,1/9/06,5
ASTRONAUT LINGO,12/8/97,5
ASTRONAUTS,1/31/05,1
ASTRONAUTS,11/29/94,5
ASTRONAUTS,6/24/05,5
ASTRONOMER'S DICTIONARY,9/14/01,1
ASTRONOMERS,11/24/08,5
ASTRONOMERS,11/25/93,5
ASTRONOMERS,12/13/10,5
ASTRONOMERS,4/24/90,5
ASTRONOMERS,7/8/99,5
ASTRONOMICAL RHYME TIME,10/5/05,5
ASTRONOMICAL!,7/14/10,3
ASTRONOMY,1/19/96,5
ASTRONOMY,1/20/09,4
ASTRONOMY,1/27/97,5
ASTRONOMY,1/3/12,1
ASTRONOMY,10/5/10,5
ASTRONOMY,10/8/09,1
ASTRONOMY,11/11/97,5
ASTRONOMY,11/15/94,5
ASTRONOMY,11/16/92,5
ASTRONOMY,11/17/87,5
ASTRONOMY,11/21/07,5
ASTRONOMY,11/24/04,5
ASTRONOMY,11/25/96,5
ASTRONOMY,11/27/07,5
ASTRONOMY,11/29/84,5
ASTRONOMY,11/7/90,5
ASTRONOMY,12/23/97,5
ASTRONOMY,12/31/99,5
ASTRONOMY,12/4/06,5
ASTRONOMY,2/14/90,1
ASTRONOMY,2/23/05,5
ASTRONOMY,2/25/04,1
ASTRONOMY,2/9/10,1
ASTRONOMY,3/19/01,5
ASTRONOMY,3/27/97,5
ASTRONOMY,3/3/09,1
ASTRONOMY,3/3/97,5
ASTRONOMY,3/7/11,5
ASTRONOMY,4/12/05,1
ASTRONOMY,4/15/08,5
ASTRONOMY,4/16/98,5
ASTRONOMY,4/23/86,4
ASTRONOMY,4/23/99,5
ASTRONOMY,5/11/00,5
ASTRONOMY,5/18/01,5
ASTRONOMY,5/28/10,3
ASTRONOMY,5/3/04,5
ASTRONOMY,5/8/97,5
ASTRONOMY,6/26/97,5
ASTRONOMY,6/30/98,1
ASTRONOMY,7/13/98,5
ASTRONOMY,7/16/96,5
ASTRONOMY,7/5/88,5
ASTRONOMY,9/10/04,5
ASTRONOMY,9/12/84,5
ASTRONOMY,9/15/99,5
ASTRONOMY,9/21/09,5
ASTRONOMY & ASTROLOGY,5/4/10,5
ASTRONOMY & SPACE,10/11/96,5
ASTRONOMY & SPACE,2/7/97,5
ASTRONOMY & SPACE,3/22/94,5
ASTRONOMY & SPACE,7/8/97,5
ASTRONOMY ADD A LETTER,4/21/06,5
ASTRONOMY'S GREATEST HITS,5/27/03,5
"AT ""EASE""",12/3/04,5
AT 33,10/14/11,5
AT A LOSS FOR WORLDS,5/7/03,5
AT A LOW POINT,7/14/03,5
AT AUCTION,5/22/00,5
AT BAT,12/30/11,5
AT BAY,5/14/09,5
AT GREAT LENGTHS,5/29/98,5
AT HOME IN EUROPE,12/23/98,4
AT HOME ON THE STAGE,2/3/98,5
AT HOME WITH A GOOD BOOK,7/18/11,5
AT LAST COUNT,9/29/00,5
AT RANDOM,2/17/98,5
AT RANDOM,3/31/11,5
AT SIXES & SEVENS,10/20/11,5
"AT THE ""BAR""",11/17/09,5
"AT THE ""END""",4/20/11,5
"AT THE ""Y""",10/26/00,5
"AT THE ""Y""",5/22/03,5
AT THE ANCIENT ROMAN CINEPLEX,4/14/10,5
AT THE ARCADE,4/1/03,5
AT THE ART MUSEUM,1/26/05,5
AT THE ART OPENING,4/19/07,5
AT THE BAKERY,1/11/08,5
AT THE BALLET,6/14/05,5
AT THE BALLPARK,1/27/04,5
"AT THE BEGIN""ING""",6/12/07,5
AT THE BOOKSTORE,3/26/01,5
AT THE BUFFET,11/6/07,5
AT THE BUFFET,3/24/09,5
AT THE BUILDING SITE,2/25/98,5
AT THE BUSINESS' WEBSITE,7/22/10,5
AT THE CANDY FACTORY,10/9/09,5
AT THE CIRCUS,5/16/03,5
AT THE CLEVELAND CLINIC,1/11/12,5
AT THE DENTIST'S OFFICE,10/31/07,5
AT THE DRUGSTORE,2/26/07,5
AT THE DRUGSTORE,4/28/10,5
AT THE DRUGSTORE,5/26/09,5
AT THE DRUGSTORE,6/3/11,5
AT THE DRUGSTORE,6/5/03,5
AT THE DRUGSTORE,9/19/07,5
AT THE DRUGSTORE,9/8/08,5
AT THE FAIR,4/13/98,5
AT THE HOSPITAL,6/3/08,5
AT THE HOTEL,6/12/01,5
AT THE INTERNATIONAL CINEPLEX,4/26/01,5
AT THE KENNEDY CENTER,11/10/97,5
AT THE LIBRARY,7/17/01,1
AT THE MAGAZINE STAND,11/18/99,3
AT THE MALL,2/1/05,5
AT THE MALL,2/6/06,5
AT THE MALL,2/7/03,5
AT THE MARK TWAIN HOUSE,3/16/07,5
AT THE MOVIE THEATER,10/26/10,5
AT THE MOVIES,10/11/07,5
AT THE MOVIES,10/15/08,5
AT THE MOVIES,10/19/06,5
AT THE MOVIES,11/26/01,5
AT THE MOVIES,12/22/06,5
AT THE MOVIES,12/29/99,5
AT THE MOVIES,2/15/08,5
AT THE MOVIES,2/2/00,5
AT THE MOVIES,3/17/03,5
AT THE MOVIES,3/26/01,5
AT THE MOVIES,3/6/07,5
AT THE MOVIES,5/4/07,5
AT THE MOVIES,6/18/01,5
AT THE MOVIES,6/27/03,5
AT THE MOVIES,6/9/05,5
AT THE MOVIES,7/11/03,5
AT THE MOVIES,7/14/09,5
AT THE MOVIES,9/27/02,5
AT THE MOVIES,9/29/09,5
AT THE MOZART HOUSE,9/12/06,5
AT THE MUSEE D'ORSAY,10/8/08,5
AT THE OK. CHORALE,4/12/06,5
AT THE PHARMACY,3/24/08,5
AT THE PLAYGROUND,10/11/07,5
"AT THE POD ""IUM""",10/4/10,5
AT THE THEME PARK,5/14/08,5
AT THE ZOO,5/5/10,5
AT TIFFANY'S,4/1/08,5
AT TIFFANY'S,5/26/00,5
AT WIDE RECEIVER FOR THIS TEAM...,1/16/12,5
ATALANTA,5/12/00,5
ATE,11/6/00,5
ATHENS IN THE 5th CENTURY B.C.,6/29/11,5
ATHLETE'S RHYME TIME,3/22/99,5
ATHLETES,10/14/97,5
ATHLETES,11/17/05,5
ATHLETES,2/28/11,5
ATHLETES,4/22/05,5
ATHLETES,4/28/08,5
ATHLETES,5/7/97,5
ATHLETES,7/6/07,5
ATHLETES,9/23/97,5
ATHLETES' COUNTRIES OF BIRTH,3/15/10,1
ATHLETES' RHYME TIME,1/29/03,4
ATHLETIC ACHIEVEMENTS,10/18/00,1
ATHLETIC CUPS,4/1/98,3
ATHLETIC EYEWEAR,3/25/10,4
ATLANTA,4/2/97,5
ATLANTA BUSINESS & INDUSTRY,3/3/97,5
ATLANTIS,10/8/08,5
ATLANTIS,11/30/06,1
ATLAS,4/25/08,5
ATOLLS,9/15/10,5
ATOM,6/3/10,5
ATOMIC WEIGHTS,3/5/01,5
ATTACK OF THE TAX,3/1/10,5
ATTACK OF THE THESAURUS,9/16/02,3
ATTENTION!,4/20/07,5
"ATTENTION, SPACE CADETS",2/24/06,5
ATTILA THE HUN,5/4/05,5
ATTILA THE HUNGRY,7/20/11,5
ATTORNEY AUTHORS,12/21/00,5
ATTORNEYS GENERAL,12/19/07,5
ATTORNEYS GENERAL,9/21/05,4
ATTRACTION,1/7/08,5
AUCTION PACKED,12/6/02,5
AUDIO BOOKS,10/5/07,5
AUDIO BOOKS,11/10/99,5
AUDIO BOOKS,11/22/99,1
AUDIO BOOKS,5/31/07,5
AUDIO LITERATURE,10/27/00,5
AUDREY HEPBURN,5/26/00,5
AUDREY HEPBURN FILM ROLES,10/12/01,5
AUF WIEDERSEHEN,10/24/08,5
AUGUST,4/2/97,5
AUGUST,9/27/84,2
AULD LANG SEINFELD,10/1/98,5
AUNTIE,1/25/05,5
AUNTIE UP,12/11/02,5
AUNTIQUITY,10/17/01,5
AUSSIE,11/3/06,5
AUSSIE CAPITALS,1/30/06,5
AUSSIE ENTERTAINERS,11/22/05,5
AUSSIE ODDS & ENDS,1/11/01,5
AUSSIES,2/4/08,5
